涨停日期,股票代码,股票名称,收盘价,首次涨停时间,最后涨停时间,连板情况,是否连板,涨停类型,涨停原因,成交金额,换手率,封单额,封单量,涨幅,流通市值,开板次数,是否新股,近一年涨停封板率
2025-01-02,600241.SH,时代万恒,7.04,09:01:01,09:01:31,,0.0,,,1.244亿,5.91,0.0万,0.0万手,5.23,20亿,1.0,0,0.58
2025-01-02,300323.CY,华灿光电,9.11,09:01:03,09:01:18,,0.0,,,19.49亿,24.38,0.0万,0.0万手,10.02,80亿,1.0,0,0.75
2025-01-02,600785.SH,新华百货,13.85,09:01:06,13:01:06,,0.0,,,6.055亿,19.0,0.0万,0.0万手,5.97,31亿,2.0,0,0.75
2025-01-02,603808.SH,歌力思,7.4,09:01:06,13:01:30,,0.0,,,1.282亿,4.6,0.0万,0.0万手,5.87,27亿,1.0,0,1.0
2025-01-02,002442.SZ,龙星化工,6.18,09:01:06,09:01:21,,0.0,,,5.294亿,17.4,0.0万,0.0万手,2.83,30亿,1.0,0,0.67
2025-01-02,603365.SH,水星家纺,16.73,09:01:07,09:01:34,,0.0,,,1.095亿,2.49,0.0万,0.0万手,3.27,43亿,1.0,0,0.75
2025-01-02,605580.SH,恒盛能源,11.16,09:01:11,09:01:14,,0.0,,,2.485亿,7.6,0.0万,0.0万手,0.72,31亿,1.0,0,0.75
2025-01-02,603390.SH,通达电气,11.62,09:01:16,13:01:58,,0.0,,,5.154亿,12.49,0.0万,0.0万手,5.83,40亿,2.0,0,0.71
2025-01-02,600698.SH,湖南天雁,4.85,09:01:20,13:01:38,,0.0,,,2.34亿,5.77,0.0万,0.0万手,7.3,40亿,1.0,0,0.6
2025-01-02,002868.SZ,绿康生化,18.06,09:01:21,09:01:21,,0.0,,,3.684亿,12.29,0.0万,0.0万手,-9.56,27亿,1.0,0,0.86
2025-01-02,603711.SH,香飘飘,17.36,09:01:29,13:01:49,,0.0,,,5.307亿,7.36,0.0万,0.0万手,5.85,71亿,1.0,0,0.67
2025-01-02,605136.SH,丽人丽妆,9.25,09:01:30,13:01:00,,0.0,,,4.786亿,12.74,0.0万,0.0万手,7.18,37亿,5.0,0,0.69
2025-01-02,600743.SH,华远地产,2.26,09:01:33,14:01:33,,0.0,,,2.517亿,4.68,0.0万,0.0万手,6.6,53亿,1.0,0,1.0
2025-01-02,002697.SZ,红旗连锁,6.5,09:01:36,13:01:33,,0.0,,,10.79亿,15.59,0.0万,0.0万手,9.98,70亿,2.0,0,0.5
2025-01-02,603095.SH,越剑智能,22.67,09:01:45,09:01:03,,0.0,,,1.573亿,3.65,0.0万,0.0万手,3.0,41亿,2.0,0,0.79
2025-01-02,002910.SZ,庄园牧场,7.38,09:01:45,09:01:06,,0.0,,,1.181亿,8.83,0.0万,0.0万手,-1.99,12亿,1.0,0,0.2
2025-01-02,002190.SZ,成飞集成,20.3,09:01:51,09:01:06,,0.0,,,9.068亿,12.51,0.0万,0.0万手,4.96,72亿,1.0,0,0.5
2025-01-02,000953.SZ,河化股份,5.96,09:01:54,09:01:57,,0.0,,,2.458亿,11.25,0.0万,0.0万手,6.62,21亿,1.0,0,0.62
2025-01-02,301088.CY,戎美股份,15.36,09:01:57,14:01:24,,0.0,,,3.432亿,37.47,0.0万,0.0万手,13.86,8亿,1.0,0,0.0
2025-01-02,601933.SH,永辉超市,6.8,10:01:16,10:01:07,,0.0,,,72.36亿,11.76,0.0万,0.0万手,7.26,617亿,1.0,0,0.75
2025-01-02,603214.SH,爱婴室,23.55,10:01:17,13:01:20,,0.0,,,4.656亿,13.92,0.0万,0.0万手,4.39,32亿,1.0,0,0.62
2025-01-02,002214.SZ,大立科技,11.95,10:01:21,14:01:42,,0.0,,,2.856亿,4.97,0.0万,0.0万手,7.17,57亿,2.0,0,0.5
2025-01-02,300766.CY,每日互动,16.63,10:01:24,13:01:03,,0.0,,,18.69亿,31.32,0.0万,0.0万手,13.83,59亿,1.0,0,1.0
2025-01-02,000785.SZ,居然智家,3.79,10:01:27,10:01:42,,0.0,,,10.1亿,4.49,0.0万,0.0万手,6.16,224亿,1.0,0,0.88
2025-01-02,600261.SH,阳光照明,3.51,10:01:40,14:01:40,,0.0,,,3.34亿,7.05,0.0万,0.0万手,7.34,46亿,2.0,0,0.0
2025-01-02,603662.SH,柯力传感,69.68,10:01:41,11:01:11,,0.0,,,33.36亿,17.23,0.0万,0.0万手,7.86,195亿,2.0,0,0.67
2025-01-02,601956.SH,东贝集团,5.19,10:01:44,13:01:26,,0.0,,,2.796亿,8.68,0.0万,0.0万手,7.45,32亿,3.0,0,0.8
2025-01-02,600661.SH,昂立教育,12.16,10:01:45,10:01:33,,0.0,,,2.577亿,7.21,0.0万,0.0万手,3.75,34亿,1.0,0,0.56
2025-01-02,002902.SZ,铭普光磁,25.0,10:01:51,11:01:12,,0.0,,,11.76亿,26.47,0.0万,0.0万手,6.93,44亿,4.0,0,0.71
2025-01-02,002127.SZ,南极电商,4.83,10:01:57,13:01:27,,0.0,,,13.65亿,14.39,0.0万,0.0万手,9.77,96亿,1.0,0,0.88
2025-01-02,000678.SZ,襄阳轴承,6.93,10:01:57,13:01:27,,0.0,,,4.333亿,13.43,0.0万,0.0万手,6.45,31亿,1.0,0,0.73
2025-01-02,605289.SH,罗曼股份,26.38,13:01:04,13:01:13,,0.0,,,3.188亿,11.06,0.0万,0.0万手,5.27,28亿,1.0,0,0.78
2025-01-02,001378.SZ,德冠新材,24.31,13:01:24,13:01:51,,0.0,,,2.179亿,13.59,0.0万,0.0万手,6.06,15亿,2.0,0,1.0
2025-01-02,002931.SZ,锋龙股份,17.35,14:01:03,14:01:06,,0.0,,,2.908亿,9.17,0.0万,0.0万手,6.7,32亿,1.0,0,1.0
2025-01-02,600272.SH,开开实业,16.56,14:01:46,14:01:43,,0.0,,,6.484亿,25.37,0.0万,0.0万手,8.8,26亿,1.0,0,0.82
2025-01-03,600322.SH,津投城开,2.93,09:01:00,09:01:54,,0.0,,,7.992亿,23.13,0.0万,0.0万手,-2.01,32亿,1.0,0,0.8
2025-01-03,002582.SZ,好想你,8.86,09:01:00,09:01:33,,0.0,,,14.07亿,42.5,0.0万,0.0万手,-2.74,30亿,2.0,0,0.8
2025-01-03,002495.SZ,佳隆股份,2.8,09:01:03,09:01:21,,0.0,,,6.645亿,31.24,0.0万,0.0万手,0.36,19亿,1.0,0,0.6
2025-01-03,001314.SZ,亿道信息,55.1,09:01:03,09:01:03,,0.0,,,19.23亿,61.68,0.0万,0.0万手,-3.4,28亿,1.0,0,0.86
2025-01-03,601086.SH,国芳集团,5.73,09:01:08,09:01:20,,0.0,,,4.901亿,11.57,0.0万,0.0万手,-7.58,38亿,1.0,0,0.88
2025-01-03,000795.SZ,英洛华,9.82,09:01:21,09:01:45,,0.0,,,11.43亿,10.06,0.0万,0.0万手,3.59,111亿,1.0,0,0.75
2025-01-03,300323.CY,华灿光电,10.26,09:01:24,10:01:51,,0.0,,,32.19亿,34.49,0.0万,0.0万手,12.62,90亿,3.0,0,0.6
2025-01-03,002983.SZ,芯瑞达,19.79,09:01:27,09:01:39,,0.0,,,1.569亿,6.08,0.0万,0.0万手,4.16,25亿,1.0,0,0.71
2025-01-03,600645.SH,中源协和,20.63,09:01:36,09:01:24,,0.0,,,8.223亿,8.32,0.0万,0.0万手,5.63,96亿,1.0,0,0.75
2025-01-03,000952.SZ,广济药业,6.5,09:01:42,13:01:42,,0.0,,,2.43亿,11.05,0.0万,0.0万手,9.61,22亿,2.0,0,0.8
2025-01-03,605118.SH,力鼎光电,17.84,09:01:47,09:01:11,,0.0,,,2.711亿,3.6,0.0万,0.0万手,-0.5,72亿,1.0,0,0.71
2025-01-03,002881.SZ,美格智能,31.5,09:01:51,09:01:33,,0.0,,,10.47亿,17.82,0.0万,0.0万手,2.94,57亿,3.0,0,0.5
2025-01-03,002769.SZ,普路通,7.1,10:01:06,10:01:42,,0.0,,,2.386亿,9.91,0.0万,0.0万手,2.9,23亿,1.0,0,0.88
2025-01-03,600128.SH,苏豪弘业,8.26,10:01:32,10:01:35,,0.0,,,1.175亿,5.67,0.0万,0.0万手,1.1,20亿,,0,0.0
2025-01-03,603298.SH,杭叉集团,18.97,10:01:41,10:01:11,,0.0,,,8.73亿,3.46,0.0万,0.0万手,5.51,248亿,1.0,0,
2025-01-03,003040.SZ,楚天龙,13.82,10:01:42,10:01:21,,0.0,,,5.088亿,8.03,0.0万,0.0万手,4.86,63亿,1.0,0,0.56
2025-01-03,002917.SZ,金奥博,9.58,13:01:24,13:01:33,,0.0,,,2.672亿,10.53,0.0万,0.0万手,3.79,24亿,1.0,0,0.67
2025-01-03,688660.KC,电气风电,9.5,13:01:35,14:01:29,,0.0,,,13.25亿,10.92,0.0万,0.0万手,17.14,126亿,6.0,0,1.0
2025-01-03,002119.SZ,康强电子,15.48,13:01:42,13:01:12,,0.0,,,13.18亿,22.92,0.0万,0.0万手,6.98,58亿,1.0,0,0.67
2025-01-03,603823.SH,百合花,9.58,13:01:59,13:01:02,,0.0,,,1.568亿,3.97,0.0万,0.0万手,5.27,39亿,1.0,0,0.75
2025-01-06,603118.SH,共进股份,9.7,09:01:02,11:01:26,,0.0,,,14.44亿,17.96,0.0万,0.0万手,1.36,76亿,2.0,0,0.71
2025-01-06,600824.SH,益民集团,5.58,09:01:06,09:01:12,,0.0,,,17.67亿,29.28,0.0万,0.0万手,3.14,58亿,3.0,0,0.88
2025-01-06,001206.SZ,依依股份,18.79,09:01:09,10:01:12,,0.0,,,4.002亿,20.42,0.0万,0.0万手,8.42,19亿,2.0,0,0.86
2025-01-06,603825.SH,华扬联众,14.03,09:01:11,09:01:23,,0.0,,,3.091亿,8.65,0.0万,0.0万手,4.23,35亿,1.0,0,0.85
2025-01-06,000533.SZ,顺钠股份,6.77,09:01:30,14:01:09,,0.0,,,22.62亿,42.96,0.0万,0.0万手,-7.77,46亿,8.0,0,0.4
2025-01-06,300766.CY,每日互动,17.08,09:01:36,10:01:51,,0.0,,,20.94亿,34.48,0.0万,0.0万手,16.11,60亿,3.0,0,0.75
2025-01-06,600397.SH,安源煤业,4.41,09:01:50,14:01:08,,0.0,,,9.691亿,22.07,0.0万,0.0万手,5.5,43亿,13.0,0,0.56
2025-01-06,603183.SH,建研院,3.84,09:01:50,09:01:14,,0.0,,,1.116亿,5.8,0.0万,0.0万手,3.78,19亿,1.0,0,0.75
2025-01-06,002397.SZ,梦洁股份,3.76,10:01:00,10:01:12,,0.0,,,7.174亿,33.64,0.0万,0.0万手,5.92,22亿,2.0,0,1.0
2025-01-06,600160.SH,巨化股份,24.75,10:01:03,10:01:09,,0.0,,,14.11亿,2.11,0.0万,0.0万手,6.59,668亿,1.0,0,0.67
2025-01-06,002112.SZ,三变科技,12.51,10:01:03,11:01:36,,0.0,,,9.315亿,28.23,0.0万,0.0万手,5.66,32亿,1.0,0,0.33
2025-01-06,002265.SZ,建设工业,27.7,10:01:24,14:01:06,,0.0,,,35.88亿,31.75,0.0万,0.0万手,5.32,111亿,15.0,0,0.61
2025-01-06,002174.SZ,游族网络,9.03,10:01:27,10:01:30,,0.0,,,5.102亿,6.01,0.0万,0.0万手,2.85,82亿,1.0,0,0.5
2025-01-06,002245.SZ,蔚蓝锂芯,12.36,10:01:42,13:01:00,,0.0,,,27.48亿,20.71,0.0万,0.0万手,6.09,134亿,1.0,0,0.62
2025-01-06,002426.SZ,胜利精密,3.15,10:01:45,10:01:33,,0.0,,,23.58亿,22.48,0.0万,0.0万手,7.88,107亿,1.0,0,0.62
2025-01-06,002076.SZ,星光股份,2.9,10:01:45,10:01:03,,0.0,,,8.652亿,29.25,0.0万,0.0万手,7.01,29亿,1.0,0,0.78
2025-01-06,002799.SZ,环球印务,7.42,10:01:45,10:01:33,,0.0,,,1.587亿,6.65,0.0万,0.0万手,4.07,23亿,1.0,0,0.57
2025-01-06,603890.SH,春秋电子,13.15,10:01:51,10:01:51,,0.0,,,14.01亿,24.32,0.0万,0.0万手,5.45,57亿,1.0,0,0.7
2025-01-06,605020.SH,永和股份,19.2,10:01:58,10:01:46,,0.0,,,2.399亿,3.33,0.0万,0.0万手,6.25,72亿,1.0,0,1.0
2025-01-06,002107.SZ,沃华医药,4.6,11:01:24,11:01:33,,0.0,,,1.611亿,6.19,0.0万,0.0万手,6.48,26亿,2.0,0,0.5
