涨停日期,股票代码,股票名称,收盘价,首次涨停时间,最后涨停时间,连板情况,是否连板,涨停类型,涨停原因,成交金额,换手率,封单额,封单量,涨幅,流通市值,是否新股,近一年涨停封板率,开板次数
2024-01-02,002976.SZ,瑞玛精密,39.47,09:01:00,09:01:00,3天3板,0.0,一字板,华为汽车+长安汽车+智能座舱+拟购买股权,4502万,1.76,3.538亿,8.96万手,10.01,25亿,0,0.9,
2024-01-02,002495.SZ,佳隆股份,3.52,09:01:00,09:01:00,首板,0.0,换手板,食品加工制造+预制菜+创投,1.696亿,6.88,6600万,18.8万手,10.0,25亿,0,0.6,
2024-01-02,603577.SH,汇金通,11.44,09:01:01,10:01:07,3天3板,1.0,换手板,光伏+电网设备+特高压,4.327亿,13.26,3164万,2.77万手,10.0,32亿,0,1.0,3.0
2024-01-02,603333.SH,尚纬股份,6.28,09:01:02,09:01:02,3天3板,0.0,一字板,核电+特种电缆+光伏+动力储能电池,1.196亿,3.06,1.174亿,18.7万手,9.98,39亿,0,1.0,
2024-01-02,605178.SH,时空科技,30.5,09:01:03,09:01:03,3天3板,0.0,一字板,空间计算+虚拟现实+智慧停车,3354万,1.77,3.113亿,10.2万手,9.99,18亿,0,0.5,
2024-01-02,603052.SH,可川科技,47.94,09:01:03,09:01:03,3天3板,0.0,换手板,消费电子+OLED+锂电池+光模块,1.624亿,11.58,5246万,1.09万手,10.0,14亿,0,0.75,
2024-01-02,001217.SZ,华尔泰,15.53,09:01:03,09:01:15,3天3板,1.0,换手板,烟花禁燃令或修改+化工,4.536亿,23.01,2453万,1.58万手,9.99,20亿,0,,
2024-01-02,603011.SH,合锻智能,8.27,09:01:03,09:01:39,首板,1.0,T字板,核聚变+专用设备+光模块,4.035亿,10.01,7703万,9.32万手,9.97,40亿,0,0.5,1.0
2024-01-02,600592.SH,龙溪股份,12.66,09:01:06,09:01:06,首板,0.0,换手板,军工+关节轴承+参股券商+龙字辈,1.998亿,4.05,9841万,7.77万手,9.99,50亿,0,1.0,
2024-01-02,002952.SZ,亚世光电,42.64,09:01:06,10:01:54,9天9板,1.0,换手板,硅基OLED+电子纸+激光雷达+外销高占比,6.204亿,11.23,5637万,1.32万手,10.01,56亿,0,1.0,4.0
2024-01-02,002660.SZ,茂硕电源,13.62,09:01:09,09:01:09,3天3板,0.0,换手板,LED电源+光伏逆变器+储能+国企改革,3.261亿,9.44,9881万,7.25万手,10.02,35亿,0,0.83,
2024-01-02,600792.SH,云煤能源,5.13,09:01:11,13:01:47,首板,1.0,换手板,焦炭+煤化工+云南国资,4.486亿,9.0,2171万,4.23万手,10.09,50亿,0,0.77,1.0
2024-01-02,605167.SH,利柏特,10.44,09:01:14,09:01:14,2天2板,0.0,换手板,核电+特种环烯烃共聚物+工业模块设计+氢能源,1.698亿,7.38,9722万,9.31万手,10.01,23亿,0,1.0,
2024-01-02,000820.SZ,神雾节能,4.32,09:01:15,09:01:15,首板,0.0,换手板,固废处理+节能环保+氢能源,5013万,4.12,3762万,8.71万手,9.92,12亿,0,0.5,
2024-01-02,603373.SH,安邦护卫,47.36,09:01:20,09:01:20,4天3板,0.0,换手板,金融安全服务+安防+国企改革+次新股,2.199亿,17.98,9677万,2.04万手,10.01,12亿,0,1.0,
2024-01-02,002395.SZ,双象股份,22.15,09:01:21,14:01:57,9天6板,1.0,换手板,MR+虚拟现实+PMMA材料+超细纤维超真皮革,14.66亿,25.44,7009万,3.16万手,9.98,59亿,0,0.73,6.0
2024-01-02,000595.SZ,宝塔实业,5.7,09:01:24,09:01:24,2天2板,0.0,换手板,军工+光伏支架+机器人+国企改革,3.168亿,5.09,8820万,15.5万手,10.04,64亿,0,0.67,
