涨停日期,股票代码,股票名称,收盘价,首次涨停时间,最后涨停时间,连板情况,是否连板,涨停类型,涨停原因,成交金额,换手率,封单额,封单量,涨幅,流通市值,开板次数,是否新股,近一年涨停封板率
2024-01-02,000705.SZ,浙江震元,10.9,09:01:00,10:01:15,,0.0,,,14.02亿,43.25,0.0万,0.0万手,0.09,30亿,2.0,0,1.0
2024-01-02,603280.SH,南方路机,27.5,09:01:01,14:01:12,,0.0,,,2.278亿,28.4,0.0万,0.0万手,2.84,7亿,1.0,0,0.6
2024-01-02,300269.CY,联建光电,6.45,09:01:09,10:01:51,,0.0,,,14.18亿,42.08,0.0万,0.0万手,16.85,33亿,5.0,0,1.0
2024-01-02,605056.SH,咸亨国际,16.42,09:01:20,11:01:59,,0.0,,,6.254亿,23.49,0.0万,0.0万手,5.32,26亿,6.0,0,1.0
2024-01-02,603722.SH,阿科力,53.18,09:01:20,09:01:41,,0.0,,,6.173亿,12.46,0.0万,0.0万手,-1.34,46亿,1.0,0,0.8
2024-01-02,000786.SZ,北新建材,24.7,09:01:27,09:01:36,,0.0,,,12.24亿,3.0,0.0万,0.0万手,5.74,403亿,1.0,0,
2024-01-02,002962.SZ,五方光电,22.54,09:01:36,09:01:06,,0.0,,,27.28亿,52.8,0.0万,0.0万手,-3.96,47亿,3.0,0,0.69
2024-01-02,002783.SZ,凯龙股份,11.3,09:01:42,09:01:30,,0.0,,,14.13亿,34.35,0.0万,0.0万手,-2.5,38亿,2.0,0,0.67
2024-01-02,003015.SZ,日久光电,12.28,09:01:45,13:01:42,,0.0,,,7.49亿,24.5,0.0万,0.0万手,4.42,30亿,1.0,0,0.6
2024-01-02,002779.SZ,中坚科技,26.66,09:01:48,09:01:51,,0.0,,,2.054亿,6.57,0.0万,0.0万手,7.2,31亿,,0,0.0
2024-01-02,603021.SH,山东华鹏,6.85,09:01:53,10:01:38,,0.0,,,5.245亿,23.78,0.0万,0.0万手,3.95,21亿,1.0,0,0.75
2024-01-02,002692.SZ,远程股份,4.9,10:01:03,10:01:45,,0.0,,,2.711亿,7.7,0.0万,0.0万手,6.99,35亿,1.0,0,0.71
2024-01-02,600538.SH,国发股份,4.92,10:01:04,10:01:01,,0.0,,,1.773亿,6.87,0.0万,0.0万手,6.03,25亿,1.0,0,
2024-01-02,002479.SZ,富春环保,5.1,10:01:24,10:01:54,,0.0,,,3.085亿,7.03,0.0万,0.0万手,6.92,43亿,2.0,0,
2024-01-02,600764.SH,中国海防,27.19,10:01:54,14:01:46,,0.0,,,8.464亿,4.41,0.0万,0.0万手,8.98,193亿,2.0,0,0.0
2024-01-02,002535.SZ,林州重机,4.99,10:01:54,10:01:15,,0.0,,,4.72亿,19.08,0.0万,0.0万手,7.54,24亿,3.0,0,0.59
2024-01-02,002253.SZ,川大智胜,14.84,11:01:30,11:01:36,,0.0,,,2.989亿,9.53,0.0万,0.0万手,3.78,30亿,1.0,0,0.89
2024-01-02,002290.SZ,禾盛新材,14.07,11:01:51,11:01:12,,0.0,,,1.441亿,4.16,0.0万,0.0万手,8.15,34亿,4.0,0,0.8
2024-01-02,002639.SZ,雪人股份,8.08,13:01:03,13:01:06,,0.0,,,5.74亿,11.01,0.0万,0.0万手,7.73,52亿,1.0,0,
