涨停日期,股票代码,股票名称,涨停情况,开盘价(元),竞价涨幅,竞价成交量(手),竞价金额(元),竞价金额与昨日成交金额占比,收盘价(元),今日涨幅
2024-11-26,002348.SZ,高乐股份,4天2板,4.46,10.12,48644,21695224,26.00%,4.46,10.12
2024-11-26,603803.SH,瑞斯康达,首板,8.87,10.05,11916,10569492,12.00%,8.87,10.05
2024-11-26,603015.SH,弘讯科技,5天5板,14.14,10.04,21875,30931250,55.00%,14.14,10.04
2024-11-26,002467.SZ,二六三,7天5板,7.35,10.03,22605,16614675,13.00%,7.35,10.03
2024-11-26,002069.SZ,獐子岛,首板,3.95,10.03,59759,23604805,44.00%,3.95,10.03
2024-11-26,002117.SZ,东港股份,2天2板,11.42,10.02,17626,20128892,50.00%,9.46,-8.86
2024-11-26,600775.SH,南京熊猫,2天2板,13.39,10.02,12916,17294524,5.00%,11.59,-4.77
2024-11-26,603178.SH,圣龙股份,首板,23.83,10.02,16513,39350479,27.00%,22.4,3.42
2024-11-26,002181.SZ,粤传媒,4天2板,5.49,10.02,77242,42405858,17.00%,5.49,10.02
2024-11-26,002862.SZ,实丰文化,4天4板,36.06,10.01,735,2650410,14.00%,36.06,10.01
2024-11-26,601133.SH,柏诚股份,2天2板,15.28,10.01,16602,25367856,39.00%,12.56,-9.58
2024-11-26,002769.SZ,普路通,首板,8.57,10.01,15592,13362344,24.00%,7.6,-2.44
2024-11-26,603611.SH,诺力股份,首板,22.75,10.01,44413,101039575,23.00%,19.68,-4.84
2024-11-26,002292.SZ,奥飞娱乐,首板,9.23,10.01,419204,386925292,24.00%,9.23,10.01
2024-11-26,002103.SZ,广博股份,7天5板,11.66,10.0,3413,3979558,2.00%,11.66,10.0
2024-11-26,001229.SZ,魅视科技,5天5板,47.43,10.0,19136,90762048,16.00%,47.43,10.0
2024-11-26,002741.SZ,光华科技,7天5板,23.46,9.99,14938,35044548,38.00%,23.46,9.99
2024-11-26,600889.SH,南京化纤,6天6板,13.65,9.99,2315,3159975,8.00%,13.65,9.99
2024-11-26,600410.SH,华胜天成,3天3板,8.37,9.99,43395,36321615,21.00%,8.37,9.99
2024-11-26,600615.SH,丰华股份,2天2板,14.75,9.99,8305,12249875,52.00%,14.75,9.99
2024-11-26,603906.SH,龙蟠科技,首板,12.22,9.99,14750,18024500,16.00%,12.22,9.99
2024-11-26,002155.SZ,湖南黄金,3天3板,22.26,9.98,14187,31580262,14.00%,22.26,9.98
2024-11-26,002175.SZ,东方智造,4天4板,4.96,9.98,14549,7216304,22.00%,4.31,-4.43
2024-11-26,600250.SH,南京商旅,首板,11.57,9.98,3756,4345692,12.00%,11.57,9.98
2024-11-26,002054.SZ,德美化工,2天2板,7.61,9.97,11461,8721821,10.00%,7.61,9.97
2024-11-26,603716.SH,塞力医疗,首板,9.93,9.97,15502,15393486,17.00%,9.93,9.97
2024-11-26,600960.SH,渤海汽车,4天2板,4.42,9.95,143693,63512306,64.00%,4.42,9.95
2024-11-26,600249.SH,两面针,首板,5.87,9.93,67118,39398266,20.00%,5.87,9.93
2024-11-26,002640.SZ,跨境通,2天2板,4.21,9.92,307025,129257525,12.00%,3.5,-8.62
2024-11-26,002076.SZ,星光股份,首板,2.56,9.87,42942,10993152,5.00%,2.56,9.87
2024-11-26,603359.SH,东珠生态,4天3板,7.27,9.82,61566,44758482,20.00%,5.96,-9.97
2024-11-26,600293.SH,三峡新材,首板,3.59,9.79,129579,46518861,16.00%,3.31,1.22
2024-11-26,002131.SZ,利欧股份,7天3板,3.27,9.73,1699787,555830349,17.00%,2.76,-7.38
2024-11-26,002547.SZ,春兴精工,首板,5.52,9.52,67537,37280424,6.00%,4.74,-5.95
2024-11-26,600333.SH,长春燃气,2天2板,7.49,9.5,59679,44699571,8.00%,6.66,-2.63
2024-11-26,000892.SZ,欢瑞世纪,3天2板,4.29,9.16,114106,48951474,14.00%,3.74,-4.83
2024-11-26,300530.CY,领湃科技,首板,26.72,9.11,5637,15062064,12.00%,24.56,0.29
2024-11-26,603122.SH,合富中国,首板,8.4,9.09,51028,42863520,28.00%,7.53,-2.21
2024-11-26,000548.SZ,湖南投资,2天2板,6.95,8.76,124616,86608120,44.00%,5.99,-6.26
2024-11-26,301011.CY,华立科技,首板,27.78,8.64,11997,33327666,9.00%,30.68,19.98
2024-11-26,603822.SH,嘉澳环保,首板,54.0,8.3,2032,10972800,5.00%,52.0,4.29
2024-11-26,002598.SZ,山东章鼓,首板,10.5,8.25,40247,42259350,15.00%,9.52,-1.86
2024-11-26,300043.CY,星辉娱乐,首板,4.98,8.03,203039,101113422,7.00%,4.77,3.47
2024-11-26,000953.SZ,河化股份,首板,5.98,6.98,20894,12494612,15.00%,6.15,10.02
2024-11-26,603002.SH,宏昌电子,首板,6.15,6.96,66113,40659495,28.00%,5.54,-3.65
2024-11-26,600624.SH,复旦复华,首板,6.55,6.85,33387,21868485,6.00%,6.02,-1.79
2024-11-26,603088.SH,宁波精达,首板,9.32,6.76,26685,24870420,9.00%,8.36,-4.24
2024-11-26,300448.CY,浩云科技,首板,8.0,6.67,91642,73313600,8.00%,7.33,-2.27
2024-11-26,600185.SH,格力地产,首板,9.18,6.25,129249,118650582,15.00%,7.78,-9.95
2024-11-26,600228.SH,返利科技,2天2板,8.96,5.91,92442,82828032,38.00%,7.66,-9.46
2024-11-26,600193.SH,创兴资源,首板,4.05,5.74,25392,10283760,8.00%,4.21,9.92
2024-11-26,002167.SZ,东方锆业,4天2板,10.49,5.64,124854,130971846,14.00%,9.57,-3.63
2024-11-26,002580.SZ,圣阳股份,首板,9.63,5.59,47218,45470934,15.00%,10.03,9.98
2024-11-26,300220.CY,金运激光,2天2板,18.9,5.59,15641,29561490,4.00%,16.69,-6.76
2024-11-26,002086.SZ,东方海洋,首板,3.54,5.36,84058,29756532,15.00%,3.26,-2.98
2024-11-26,002820.SZ,桂发祥,2天2板,11.4,5.07,34308,39111120,8.00%,11.94,10.05
2024-11-26,605168.SH,三人行,首板,34.99,4.98,9717,33999783,12.00%,34.64,3.93
2024-11-26,600689.SH,上海三毛,首板,11.22,4.86,16587,18610614,15.00%,10.58,-1.12
2024-11-26,002576.SZ,通达动力,首板,15.66,4.75,15303,23964498,8.00%,14.72,-1.54
2024-11-26,000710.SZ,贝瑞基因,首板,10.58,4.65,44994,47603652,27.00%,9.65,-4.55
2024-11-26,002527.SZ,新时达,首板,9.9,4.54,32650,32323500,5.00%,8.9,-6.02
2024-11-26,603520.SH,司太立,4天2板,10.96,4.48,17088,18728448,9.00%,10.45,-0.38
2024-11-26,002868.SZ,绿康生化,首板,18.3,4.45,2619,4792770,7.00%,17.69,0.97
2024-11-26,002780.SZ,三夫户外,首板,14.0,4.4,3730,5222000,2.00%,13.82,3.06
2024-11-26,603196.SH,日播时尚,4天2板,19.0,4.34,7477,14206300,13.00%,16.6,-8.84
2024-11-26,603095.SH,越剑智能,首板,24.99,4.3,1303,3256197,2.00%,23.28,-2.84
2024-11-26,002899.SZ,英派斯,首板,21.9,4.24,1661,3637590,4.00%,20.66,-1.67
2024-11-26,603121.SH,华培动力,首板,9.8,4.03,9958,9758840,7.00%,9.0,-4.46
2024-11-26,002715.SZ,登云股份,首板,17.57,4.03,1906,3348842,4.00%,16.63,-1.54
2024-11-26,002125.SZ,湘潭电化,首板,13.0,4.0,28543,37105900,6.00%,11.84,-5.28
2024-11-26,301268.CY,铭利达,首板,22.5,3.97,1739,3912750,4.00%,20.86,-3.6
2024-11-26,002095.SZ,生意宝,5天5板,24.49,3.73,37214,91137086,25.00%,21.95,-7.03
2024-11-26,688622.KC,禾信仪器,首板,50.2,3.44,1149,5768532,4.00%,53.46,10.16
2024-11-26,600738.SH,丽尚国潮,首板,5.48,3.4,49396,27069008,10.00%,5.35,0.94
2024-11-26,000716.SZ,黑芝麻,首板,6.5,3.34,62577,40675050,5.00%,6.63,5.41
