涨停日期,股票代码,股票名称,涨停情况,开盘价(元),竞价涨幅,竞价成交量(手),竞价金额(元),竞价金额与昨日成交金额占比
2025-06-20,603215.SH,比依股份,,21.05,1.99,13388,28181740,3.00%
2025-06-20,601869.SH,长飞光纤,,37.15,0.13,1264,4695760,1.00%
2025-06-20,600825.SH,新华传媒,,7.17,0.0,6789,4867713,1.00%
2025-06-20,000821.SZ,京山轻机,,11.26,-0.71,7782,8762532,2.00%
2025-06-20,603151.SH,邦基科技,,19.68,-1.11,4352,8564736,2.00%
2025-06-20,605133.SH,嵘泰股份,,41.56,-1.4,1018,4230808,1.00%
2025-06-20,603969.SH,银龙股份,,6.83,-2.15,31462,21488546,2.00%
2025-06-20,002017.SZ,东信和平,,16.6,-2.41,38521,63944860,2.00%
2025-06-20,000985.SZ,大庆华科,,18.92,-2.57,2128,4026176,2.00%
2025-06-20,002769.SZ,普路通,,9.32,-2.82,18803,17524396,2.00%
2025-06-20,605018.SH,长华集团,,12.2,-3.02,8666,10572520,3.00%
2025-06-20,002700.SZ,新疆浩源,,9.29,-3.23,3027,2812083,1.00%
2025-06-20,600113.SH,浙江东日,,18.14,-3.56,6849,12424086,2.00%
2025-06-20,000020.SZ,深华发A,,14.01,-3.91,22403,31386603,5.00%
