涨停日期,股票代码,股票名称,收盘价,首次涨停时间,最后涨停时间,连板情况,是否连板,涨停类型,涨停原因,成交金额,换手率,封单额,封单量,涨幅,流通市值,是否新股,近一年涨停封板率,开板次数
2025-01-02,000981.SZ,山子高科,2.2,09:01:00,09:01:00,首板,0,一字板,拟出售子公司股权+低价股+先进封装+无人驾驶,2.809亿,1.96,4.899亿,2万手,10.0,143亿,0,0.89,
2025-01-02,002397.SZ,梦洁股份,3.23,09:01:00,09:01:00,2天2板,0,一字板,微盟合作+床上用品+电子商务+三胎,3421万,1.8,7981万,24.7万手,9.86,18亿,0,1.0,
2025-01-02,300615.CY,欣天科技,13.79,09:01:00,09:01:00,首板,0,一字板,子公司拟购买股权+通信,6024万,3.3,1.208亿,8.76万手,20.02,18亿,0,1.0,
2025-01-02,600530.SH,交大昂立,5.31,09:01:00,09:01:00,3天3板,0,换手板,要约收购+电子商务+保健品+养老概念,1.141亿,2.78,1.002亿,18.9万手,9.94,41亿,0,0.65,
2025-01-02,002245.SZ,蔚蓝锂芯,11.76,09:01:00,13:01:51,首板,1,T字板,后备电源（算力相关）+固态电池+LED,12.59亿,9.85,1.446亿,12.3万手,10.01,127亿,0,0.57,2.0
2025-01-02,600811.SH,东方集团,2.3,09:01:01,14:01:52,首板,1,换手板,预重整+农产品加工+跨境支付,8.909亿,10.72,1791万,7.79万手,10.05,84亿,0,0.9,9.0
2025-01-02,600322.SH,津投城开,2.99,09:01:02,09:01:02,首板,0,一字板,拟剥离地产业务转型供热及新能源发电,2705万,0.82,2.029亿,67.9万手,9.93,33亿,0,0.8,
2025-01-02,603617.SH,君禾股份,8.06,09:01:02,14:01:26,2天2板,1,T字板,年报预增+家用水泵+外销,6.38亿,21.65,1.027亿,12.7万手,9.96,30亿,0,0.75,1.0
2025-01-02,002730.SZ,电光科技,15.03,09:01:03,09:01:03,9天7板,1,换手板,算力+机器人+物联网+防爆电器,9.091亿,19.25,1.123亿,7.47万手,10.03,52亿,0,0.73,
2025-01-02,600824.SH,益民集团,4.92,09:01:04,14:01:04,首板,1,换手板,零售+养老+上海国企改革,9.702亿,19.0,1744万,3.55万手,10.07,51亿,0,0.86,16.0
2025-01-02,603719.SH,良品铺子,15.63,09:01:08,13:01:50,首板,1,换手板,休闲食品+电商,5.514亿,8.87,2440万,1.56万手,9.99,62亿,0,1.0,3.0
2025-01-02,002918.SZ,蒙娜丽莎,11.62,09:01:09,13:01:39,首板,1,换手板,建筑陶瓷+首发经济+参投基金,3.671亿,14.49,2127万,1.83万手,10.04,25亿,0,0.5,2.0
2025-01-02,600683.SH,京投发展,4.18,09:01:11,09:01:11,首板,0,换手板,拟向控股股东增发募资5.95亿元+房地产+北京国资,8096万,2.62,3139万,7.51万手,10.0,30亿,0,0.78,
2025-01-02,002582.SZ,好想你,9.11,09:01:12,09:01:12,首板,0,换手板,微信小店+红枣+间接参投蜜雪冰城,3.9亿,12.51,1.987亿,21.8万手,10.02,31亿,0,0.78,
2025-01-02,002364.SZ,中恒电气,11.87,09:01:12,14:01:21,8天4板,1,换手板,数据中心+字节+电源系统+液冷超充,15.46亿,24.09,6841万,5.76万手,10.01,66亿,0,0.62,3.0
2025-01-02,002418.SZ,康盛股份,2.68,09:01:21,11:01:48,首板,1,换手板,液冷服务器+股权转让+制冷管路,4.096亿,13.56,1482万,5.53万手,9.84,30亿,0,0.6,3.0
2025-01-02,603682.SH,锦和商管,8.23,09:01:22,09:01:22,5天3板,0,换手板,新型城镇化+物业管理+IP合作,1.513亿,3.97,6984万,8.49万手,10.03,38亿,0,0.89,
2025-01-02,002193.SZ,如意集团,6.23,09:01:24,09:01:24,首板,0,换手板,西装+羊毛+外销,1.074亿,6.76,8390万,13.5万手,10.07,16亿,0,0.83,
2025-01-02,603777.SH,来伊份,16.96,09:01:25,09:01:25,2天2板,0,换手板,礼品+腾讯+电商,3.019亿,5.38,1.106亿,6.52万手,9.99,56亿,0,0.8,
2025-01-02,601010.SH,文峰股份,3.03,09:01:25,09:01:25,首板,0,换手板,零售+电商+低价股,2.306亿,4.24,5763万,19.0万手,10.18,55亿,0,1.0,
2025-01-02,600693.SH,东百集团,7.7,09:01:27,09:01:12,6天6板,1,换手板,零售+免税店+跨境电商,4.561亿,6.91,1.425亿,18.5万手,10.0,66亿,0,0.75,2.0
2025-01-02,002693.SZ,双成药业,20.16,09:01:27,14:01:24,首板,1,换手板,拟收购宁波奥拉半导体+多肽药,13.74亿,16.82,6405万,3.18万手,9.98,82亿,0,0.87,4.0
2025-01-02,000619.SZ,海螺新材,6.77,09:01:30,09:01:30,首板,0,换手板,装修建材+光伏+智能家居+安徽国资,1.416亿,5.92,5192万,7.67万手,10.08,24亿,0,0.75,
2025-01-02,001314.SZ,亿道信息,57.04,09:01:33,14:01:39,首板,1,换手板,AR眼镜+AIPC+MR,15.13亿,52.09,1120万,0.197万手,10.01,29亿,0,0.85,9.0
2025-01-02,600778.SH,友好集团,10.0,09:01:37,09:01:40,6天4板,1,换手板,零售+免税店+新疆振兴,3.603亿,11.7,6766万,6.77万手,10.01,31亿,0,0.82,4.0
2025-01-02,000759.SZ,中百集团,14.39,09:01:39,13:01:00,6天6板,1,换手板,商业零售+腾讯+胖东来指导交流+湖北国资,17.76亿,19.2,1.577亿,11.0万手,10.02,94亿,0,0.7,6.0
2025-01-02,002495.SZ,佳隆股份,2.79,09:01:45,14:01:30,4天2板,1,换手板,鸡精+预制菜+创投+广东,3.235亿,16.43,3215万,11.5万手,9.84,19亿,0,0.6,7.0
2025-01-02,603500.SH,祥和实业,8.47,09:01:46,14:01:43,首板,1,换手板,高铁+电子元器件+回购增持再贷款,4.136亿,14.4,1252万,1.48万手,10.0,28亿,0,0.67,8.0
2025-01-02,002306.SZ,中科云网,3.17,09:01:48,09:01:48,首板,0,换手板,签署1GW光伏项目+获1300万元债务豁免,5552万,2.18,5266万,16.6万手,10.07,25亿,0,0.69,
2025-01-02,605080.SH,浙江自然,25.85,09:01:49,14:01:25,2天2板,1,换手板,股权激励+迪卡侬+露营经济+外销,3.226亿,8.86,752.3万,0.291万手,10.0,36亿,0,0.57,4.0
2025-01-02,000533.SZ,顺钠股份,6.67,09:01:51,10:01:24,5天5板,1,换手板,东数西算+输配电设备+核电变压器+光伏,12.98亿,29.26,2700万,4.05万手,10.07,45亿,0,0.25,6.0
2025-01-02,002187.SZ,广百股份,7.79,09:01:54,13:01:36,首板,1,换手板,百货零售+IP经济+黄金珠宝+国企,5.099亿,12.9,2908万,3.73万手,10.03,40亿,0,0.8,3.0
2025-01-02,002269.SZ,美邦服饰,2.24,10:01:00,14:01:27,首板,1,换手板,服装+电商+IP经济+低价股,7.944亿,14.44,1024万,4.57万手,9.8,56亿,0,0.86,4.0
2025-01-02,300959.CY,线上线下,52.99,10:01:03,14:01:39,首板,1,换手板,广告营销+腾讯+字节,10.43亿,39.25,5581万,1.05万手,20.0,27亿,0,1.0,2.0
