涨停日期,股票代码,股票名称,涨停情况,开盘价(元),竞价涨幅,竞价成交量(手),竞价金额(元),竞价金额与昨日成交金额占比
2025-06-20,605298.SH,必得科技,首板,15.57,10.04,6285,9785745,10.00%
2025-06-20,002125.SZ,湘潭电化,首板,12.29,10.03,67135,82508915,34.00%
2025-06-20,002579.SZ,中京电子,2天2板,10.9,9.99,418747,456434230,301.00%
2025-06-20,603685.SH,晨丰科技,首板,15.53,9.99,16194,25149282,29.00%
2025-06-20,000637.SZ,茂化实华,首板,4.87,9.93,141094,68712778,62.00%
2025-06-20,301292.CY,海科新源,首板,21.3,8.67,31541,67182330,13.00%
2025-06-20,301176.CY,逸豪新材,2天2板,27.51,7.97,9250,25446750,4.00%
2025-06-20,002207.SZ,准油股份,5天5板,10.8,7.46,72024,77785920,20.00%
2025-06-20,002343.SZ,慈文传媒,首板,9.6,6.9,78324,75191040,10.00%
2025-06-20,600110.SH,诺德股份,3天3板,4.95,5.77,131961,65320695,6.00%
2025-06-20,300483.CY,首华燃气,首板,14.01,4.71,30376,42556776,7.00%
2025-06-20,603533.SH,掌阅科技,首板,23.0,4.26,33879,77921700,7.00%
2025-06-20,603928.SH,兴业股份,首板,13.01,4.16,11290,14688290,4.00%
2025-06-20,603823.SH,百合花,首板,12.71,2.91,9743,12383353,4.00%
2025-06-20,002173.SZ,创新医疗,3天2板,13.96,2.72,63562,88732552,5.00%
2025-06-20,002490.SZ,山东墨龙,5天5板,6.55,2.66,48578,31818590,3.00%
2025-06-20,605580.SH,恒盛能源,首板,12.6,2.52,6264,7892640,9.00%
2025-06-20,000968.SZ,蓝焰控股,首板,8.0,0.63,22150,17720000,4.00%
2025-06-20,600463.SH,空港股份,首板,11.0,0.46,24029,26431900,33.00%
2025-06-20,002514.SZ,宝馨科技,首板,6.18,0.32,21725,13426050,3.00%
2025-06-20,002240.SZ,盛新锂能,首板,12.36,0.16,20562,25414632,3.00%
2025-06-20,601606.SH,长城军工,2天2板,16.71,0.12,34966,58428186,3.00%
2025-06-20,300291.CY,百纳千成,首板,6.13,-0.16,78424,48073912,4.00%
2025-06-20,603982.SH,泉峰汽车,首板,10.8,-0.46,10778,11640240,3.00%
2025-06-20,002476.SZ,宝莫股份,首板,5.19,-0.76,39735,20622465,5.00%
2025-06-20,002268.SZ,电科网安,首板,17.69,-0.79,22157,39195733,6.00%
2025-06-20,002805.SZ,丰元股份,首板,12.92,-1.0,14153,18285676,8.00%
2025-06-20,000159.SZ,国际实业,首板,6.39,-1.24,27160,17355240,3.00%
2025-06-20,605268.SH,王力安防,首板,9.75,-1.71,9836,9590100,3.00%
2025-06-20,301182.CY,凯旺科技,首板,36.21,-2.61,3788,13716348,3.00%
2025-06-20,603918.SH,金桥信息,首板,18.95,-3.86,14184,26878680,2.00%
2025-06-20,600714.SH,金瑞矿业,5天3板,13.66,-4.48,14552,19878032,2.00%
2025-06-20,600551.SH,时代出版,2天2板,9.74,-4.51,38576,37573024,10.00%
2025-06-20,301357.CY,北方长龙,5天3板,60.75,-8.01,3593,21827475,2.00%
